act,chapter,section_no,title,content,version
crpc,14,194,Additional and Assistant Sessions Judges to try cases made over to them,"An Additional Sessions Judge or Assistant Sessions Judge shall try such cases as the Sessions Judge of the division may, by general or special order, make over to him for trial or as the High Court may, by special order, direct him to try.",2025.10
crpc,14,195,"Prosecution for contempt of lawful authority of public servants, for offences against public justice and for offences relating to documents given in evidence","No Court shall take cognizance—
		
			(i) of any offence punishable under sections 172 to 188 (both inclusive) of the Indian Penal Code (45 of 1860), or
 (ii) of any abetment of, attempt to commit, such offence, or
 (iii) of any criminal conspiracy to commit, such offence,
Except on the complaint in writing of the public servant concerned or of some other public servant to whom he is administratively subordinate;
			(i) of any offence punishable under any of the following section of the Indian Penal Code (45 of 1860), namely, sections 193 to 196 (both inclusive), 199, 200, 205 to 211 (both inclusive) and 228, when such offence is alleged to have been committed in, or in relation to, any proceeding in any Court, or
 (ii) of any offence described in section 463, or punishable under section 471, section 475 or section 476, of the said Code, when such offence is alleged to have been committed in respect of a document produced or given in evidence in a proceeding in any Court, or
 (iii) of any criminal conspiracy to commit, or attempt to commit, or the abetment of, any offence specified in sub-clause (i) or sub-clause (ii), except on the complaint in writing of that Court or by such officer of the Court as that Court may authorise in writing in this behalf, or of some other Court to which that Court is subordinate.
		
		Where a complaint has been made by a public servant under clause (a) of Sub-section (1) any authority to which he is administratively subordinate may order the withdrawal of the complaint and send a copy of such order to the Court; and upon its receipt by the Court, no further proceedings shall be taken on the complaint;
Provided that no such withdrawal shall be ordered if the trial in the Court of first instance has been concluded.
		In clause (b) of Sub-section (1), the term “Court” means a Civil, Revenue or Criminal Court, and includes a tribunal constituted by or under a Central, provincial or State Act if declared by that Act to be a Court for the purposes of this section.
		For the purposes of clause (b) of Sub-section (1), a Court shall be deemed to be subordinate to the Court to which appeals ordinarily lie from appealable decrees or sentences of such former Court, or in the case of a civil Court from whose decrees no appeal ordinarily lies, to the principal Court having ordinary original civil jurisdiction within whose local jurisdiction such Civil Court is situate;
Provided that—
 a. where appeals lie to more than one Court, the Appellate Court of inferior jurisdiction shall be the Court to which such Court shall be deemed to be subordinate;
 b. where appeals lie to a civil and also to a Revenue Court, such Court shall be deemed to be subordinate to the civil or Revenue Court according to the nature of the case or proceeding in connection with which the offence is alleged to have been committed.",2025.10
crpc,14,196,Prosecution for offences against the State and for criminal conspiracy to commit such offence,"No Court shall take cognizance of—
		
			any offence punishable under Chapter VI or under section 153A, section 295A or Sub-section (1) of section 505 of the Indian Penal Code (45 of 1860), or
			a criminal conspiracy to commit such offence, or
			any such abetment, as is described in section 108A of the Indian Penal Code (45 of 1860),
except with the previous sanction of the Central Government or of the State Government.
1A. No Court shall take cognizance of—
a. any offence punishable under section 153B or Sub-section (2) or Sub-section (3) of section 505 of the Indian Penal Code (45 of 1860), or
b. a criminal conspiracy to commit such offence,
Except with the previous sanction of the Central Government or of the State Government or of the District Magistrate.
		
		No Court shall take cognizance of the offence of any criminal conspiracy punishable under section 120B of the Indian Penal Code (45 of 1860), other than a criminal conspiracy to commit an offence punishable with death, imprisonment for life or rigorous imprisonment for a term of two years or upwards, unless the State Government or the District Magistrate has consented in writing to the initiation of the proceeding;
Provided that where the criminal conspiracy is one to which the provisions of section 195 apply, no such consent shall be necessary.
		The Central Government or the State Government may, before according sanction under Sub-section (1) or Sub-section (1A) and the District Magistrate may, before according sanction under Sub-section (1A) and the State Government or the District Magistrate may, before giving consent under Sub-section (2), order a preliminary investigation by a police officer not being below the rank of Inspector, in which case such police officer shall have the powers referred to in Sub-section (3) of section 155.",2025.10
crpc,14,197,Prosecution of Judges and public servants,"When any person who is or was a Judge or Magistrate or a public servant not removable from his office save by or with the sanction of the Government is accused of any offence alleged to have been committed by him while acting or purporting to act in the discharge of his official duty, no Court shall take cognizance of such offence except with the previous sanction-
		
			in the case of a person who is employed or, as the case may be, was at the time of commission of the alleged offence employed, in connection with the affairs of the Union, of the Central Government;
			in the case of a person who is employed or, as the case may be, was at the lime of commission of the alleged offence employed, in connection with the affairs of a State, of the State Government:

Provided that where the alleged offence was committed by a person referred to in clause (b) during the period while a Proclamation issued under clause (1) of Article section 356 of the Constitution was in force in a State, clause (b) will apply as if for the expression “State Government” occurring therein, the expression “Central Government” were substituted.

Explanation — For the removal of doubts it is hereby declared that no sanction shall be required in case of a public servant accused of any offence alleged to have been committed under section 166A, section 166B, section 354, section 354A, section 354B, section 354C, section 354D, section 370, section 375, section 376, section 376A, section 376AB, section 376C, section 376D, section 376DA, section 376DB or section 509 of the Indian Penal Code.1
		
		No Court shall take cognizance of any offence alleged to have been committed by any member of the Armed Forces of the Union whole acting or purporting to act in the discharge of his official duty, except with the previous sanction of the Central Government.
		The State Government may, by notification, direct that the provisions of Sub-section (2) shall apply to such class or category of the members of the Forces charged with the maintenance of public order as may be specified therein, wherever they may be serving, and thereupon the provisions of that Sub-section will apply as if for the expression “Central Government” occurring therein, the expression “State Government” were substituted.

3A. Notwithstanding anything contained in Sub-section (3), no Court shall take cognizance of any offence, alleged to have been committed by any member of the Forces charged with the maintenance of public order in a State while acting or purporting to act in the discharge of his official duty during the period while a Proclamation issued under clause (1) of article 356 of the Constitution was in force therein, except with the previous sanction of the Central Government.

3B. Notwithstanding anything to the contrary contained in this Code or any other law, it is hereby declared that any sanction accorded by the State Government or any cognizance taken by a Court upon such sanction, during the period commencing on the 20th day of August, 1991 and ending with the date immediately preceding the date on which the Code of Criminal Procedure (Amendment) Act, 1991, receives the assent of the President, with respect to an offence alleged to have been committed during the period while a Proclamation issued under clause (1) of article 356 of the Constitution was in force in the State, shall be invalid and it shall be competent for the Central Government in such matter to accord sanction and for the Court to take cognizance thereon.
		The Central Government or the State Government, as the case may be, may determine the person by whom, the manner in which, and the offence or offences for which, the prosecution of such Judge, Magistrate or public servant is to be conducted, and may specify the Court before which the trial is to be held.
	

1 Criminal Law (Amendment) Act, 2018",2025.10
crpc,14,198,Prosecution for offences against marriage,"No Court shall take cognizance of an offence punishable under Chapter XX of the Indian Penal Code (45 of 1860) except upon a complaint made by some person aggrieved by the offence;
Provided that—
		
			where such person is under the age of eighteen years, or is an idiot or a lunatic, or is from sickness or infirmity unable to make a complaint, or is a woman who, according to the local customs and manners, ought not to be compelled to appear in public, some other person may, with the leave of the Court, make a complaint on his or her behalf;
			where such person is the husband and he is serving in any of the Armed Forces of the Union under conditions which are certified by his Commanding Officer as precluding him from obtaining leave of absence to enable him to make a complaint in person, some other person authorised by the husband in accordance with the provisions of Sub-section (4) may make a complaint on his behalf;
			where the person aggrieved by an offence punishable under section 494 or section 495 of the Indian Penal Code (45 of 1860) is the wife, complaint may be made on her behalf by her father, mother, brother, sister, son or daughter or by her father’s or mother’s, brother or sister, with the leave of the Court, by any other person related to her by blood, marriage or adoption.
		
		For the purpose of Sub-section (1), no person other than the husband of the woman shall be deemed to be aggrieved by any offence punishable under section 497 or section 498 of the said Code;
Provided that in the absence of the husband, some person who had care of the woman on his behalf at the time when such offence was committed may, with the leave of the Court, make a complaint on his behalf.
		When in any case falling under clause (a) of the proviso to Sub-section (1), the complaint is sought to be made on behalf of a person under the age of eighteen years or of a lunatic by a person who has not been appointed or declared by a competent authority to be the guardian of the person of the minor or lunatic, and the Court is satisfied that there is a guardian so appointed or declared, the Court shall, before granting the application for leave, cause notice to be given to such guardian and give him a reasonable opportunity of being heard.
		The authorisation referred to in clause (b) of the proviso to Sub-section (1), shall be in writing, shall be signed or otherwise attested by the husband, shall contain a statement to the effect that he has been informed of the allegations upon which the complaint is to be founded, shall be countersigned by his Commanding Officer, and shall be accompanied by a certificate signed by that Officer to the effect that leave of absence for the purpose of making a complaint in person cannot for the time being be granted to the husband.
		Any document purporting to be such an authorisation and complying with the provisions of Sub-section (4), and any document purporting to be a certificate required by that Sub-section shall, unless the contrary is proved, be presumed to be genuine and shall be received in evidence.
		No Court shall take cognizance of an offence under section 376 of the Indian Penal Code (45 of 1860), where such offence consists of sexual inter-course by a man with his own wife, the wife being under fifteen years of age, if more than one year has elapsed from the date of the commission of the offence.
		The provisions of this section apply to the abetment of, or attempt to commit, an offence as they apply to the offence.",2025.10
crpc,14,198A,Prosecution of offences under section 498A of the Indian Penal Code,"No Court shall take cognizance of an offence punishable under section 498A of the Indian Penal Code (45 of 1860) except upon a police report of facts which constitute such offence or upon a complaint made by the person aggrieved by the offence or by her father, mother, brother, sister or by her father’s or mother’s brother or sister or, with the leave of the Court, by any other person related to her by blood, marriage or adoption.",2025.10
crpc,14,198B,Cognizance of offence,"No Court shall take cognizance of an offence punishable under section 376B of the Indian Penal Code where the persons are in a marital relationship, except upon prima facie satisfaction of the facts which constitute the offence upon a complaint having been filed or made by the wife against the husband1.

1 Criminal Law (Amendment) Act, 2013",2025.10
crpc,14,199,Prosecution for defamation,"No Court shall take cognizance of an offence punishable under Chapter XXI of the Indian Penal Code (45 of 1860) except upon a complaint made by some person aggrieved by the offence;
Provided that where such person is under the age of eighteen years, or is an idiot or a lunatic, or is from sickness or infirmity unable to make a complaint, or is a woman who, according to the local customs and manners, ought not to be compelled to appear in public, some other person may, with the leave of the Court, make a complaint on his or her behalf.
		Notwithstanding anything contained in this Code, when any offence falling under Chapter XXI of the Indian Penal Code (45 of 1860) is alleged to have been committed against a person who, at the time of such commission, is the President of India, the Vice-President of India, the Government of a State, the Administrator of a Union territory or a Minister of the Union or of a State or of a Union territory, or any other public servant employed in connection with the affairs of the Union or of a State in respect of his conduct in the discharge of his public functions a Court of Session may take cognizance of such offence, without the case being committed to it, upon a complaint in writing made by the Public Prosecutor.
		Every complaint referred to in Sub-section (2) shall set forth the facts which constitute the offence alleged, the nature of such offence and such other particulars as are reasonably sufficient to give notice to the accused of the offence alleged to have been committed by him.
		No complaint under Sub-section (2) shall be made by the Public Prosecutor except with the previous sanction—
		
			of the State Government, in the case of a person who is or has been the Governor of that State or a Minister of that Government;
			of the State Government, in the case of any other public servant employed in connection with the affairs of the State;
			of the Central Government, in any other case.
		
		No Court of Session shall take cognizance of an offence under Sub-section (2) unless the complaint is made within six months from the date on which the offence is alleged to have been committed.
		Nothing in this section shall affect the right of the person against whom the offence is alleged to have been committed, to make a complaint in respect of that offence before a Magistrate having jurisdiction or the power of such Magistrate to take cognizance of the offence upon such complaint.",2025.10
crpc,15,200,Examination of complainant,"A Magistrate taking cognizance of an offence on complaint shall examine upon oath the complainant and the witnesses present, if any, and the substance of such examination shall be reduced to writing and shall be signed by the complainant and the witnesses, and also by the Magistrate;
Provided that, when the complaint is made in writing, the Magistrate need not examine the complainant and the witnesses,
	
		if a public servant acting or purporting to act in the discharge of his official duties or a Court has made the complaint; or
		if the Magistrate makes over the case for inquiry or trial to another Magistrate under section 192;
Provided further that if the Magistrate makes over the case to another Magistrate under section 192 after examining the complainant and the witnesses, the latter Magistrate need not re-examine them.",2025.10
crpc,15,201,Procedure by Magistrate not competent to take cognizance of the case,"If the complaint is made to a Magistrate who is not competent to take cognizance of the offence he shall,
	
		if the complaint is in writing, return it for presentation to the proper Court with an endorsement to that effect;
		if the complaint is not in writing, direct the complainant to the proper Court.",2025.10
crpc,15,202,Postponement of issue of process,"Any Magistrate, on receipt of a complaint of an offence of which he is authorised to take cognizance or which has been made over to him under section 192, may, if he thinks fit and shall in a case where the accused is residing at a place beyond the area in which he exercises his jurisdiction, postpone the issue of process against the accused, and either inquire into the case himself or direct an investigation to be made by a police officer or by such other person as he thinks fit, for the purpose of deciding whether or not there is sufficient ground for proceeding;

Provided that no such direction for investigation shall be made—
		
			where it appears to the Magistrate that the offence complained of is triable exclusively by the Court of Sessions; or
			where the complaint has not been made by a Court, unless the complainant and the witnesses present (if any) have been examined on oath under section 200.
		
		In an inquiry under Sub-section (1), the Magistrate may, if he thinks fit, take evidence of witness on oath;
Provided that if it appears to the Magistrate that the offence complained of is triable exclusively by the Court of Session, he shall call upon the complainant to produce all his witnesses and examine them on oath.
		If an investigation under Sub-section (1) is made by a person not being a police officer, he shall have for that investigation all the powers conferred by this Code on an officer in charge of a police station except the power to arrest without warrant.",2025.10
crpc,15,203,Dismissal of complaint,"If, after considering the statements on oath (if any) of the complainant and of the witnesses and the result of the inquiry or investigation (if any) under section 202, the Magistrate is of opinion that there is no sufficient ground for proceeding, he shall dismiss the complaint, and in every such case he shall briefly record his reasons for so doing.",2025.10
crpc,16,204,Issue of process,"If in the opinion of a Magistrate taking cognizance of an offence there is sufficient ground for proceeding, and the case appears to be—
		
			a summons-case, he shall issue his summons for the attendance of the accused, or
			a warrant-case, he may issue a warrant, or, if he thinks fit, a summons, for causing the accused to be brought or to appear at a certain time before such Magistrate or (if he has no jurisdiction himself) some other Magistrate having jurisdiction.
		
		No summons or warrant shall be issued against the accused under Sub-section (1) until a list of the prosecution witnesses has been filed.
		In a proceeding instituted upon a complaint made in writing, every summons or warrant issued under Sub-section (1) shall be accompanied by a copy of such complaint.
		When by any law for the time being in force any process-fees or other fees are payable, no process shall be issued until the fees are paid and, if such fees are not paid within a reasonable time, the Magistrate may dismiss the complaint.
		Nothing in this section shall be deemed to affect the provisions of section 87.",2025.10
crpc,16,205,Magistrate may dispense with personal attendance of accused,"Whenever a Magistrate issues a summons, he may, if he sees reason so to do, dispense with the personal attendance of the accused and permit him to appear by his pleader.
		But the Magistrate inquiring into or trying the case may, in his discretion, at any stage of the proceedings, direct the personal attendance of the accused, and, if necessary, enforce such attendance in the manner hereinbefore provided.",2025.10
crpc,16,206,Special summons in cases of petty offence,"If, in the opinion of a Magistrate taking cognizance of a petty offence, the case may be summarily disposed of under section 260 or section 261, the Magistrate shall, except where he is, for reasons to be recorded in writing of a contrary opinion, issue summons to the accused requiring him either to appear in person or by pleader before the Magistrate on a specified date, or if he desires to plead guilty to the charge without appearing before the Magistrate, to transmit before the specified date, by post or by messenger to the Magistrate, the said plea in writing and the amount of fine specified in the summons or if he desires to appear by pleader and to plead guilty to the charge through such pleader, to authorise, in writing, the pleader to plead guilty to the charge on his behalf and to pay the fine through such pleader;
Provided that the amount of the fine specified in such summons shall not exceed one thousand rupees.
		For the purposes of this section, “petty offence” means any offence punishable only with fine not exceeding one thousand rupees, but does not include any offence so punishable under the Motor Vehicles Act, 1931, or under any other law which provides for convicting the accused person in his absence on a plea of guilty.
		The State Government may, by notification, specially empower any Magistrate to exercise the powers conferred by Sub-section (1) in relation to any offence which is compoundable under section 320 or any offence punishable with imprisonment for a term not exceeding three months, or with fine or with both where the Magistrate is of opinion that, having regard to the facts and circumstances of the case, the imposition of fine only would meet the ends of justice.",2025.10
crpc,16,207,Supply to the accused of copy of police report and other documents,"In any case where the proceeding has been instituted on a police report, the Magistrate shall without delay furnish to the accused, free of cost, a copy of each of the following;
	
		the police report;
		the first information report recorded under section 154;
		the statements recorded under Sub-section (3) of section 161 of all persons whom the prosecution proposes to examine as its witnesses, excluding therefrom any part in regard to which a request for such exclusion has been made by the police officer under Sub-section (6) of section 173;
		the confessions and statements, if any, recorded under section 164;
		any other document or relevant extract thereof forwarded to the Magistrate with the police report under Sub-section (5) of section 173;
Provided that the Magistrate may, after perusing any such pan of a statement as is referred to in clause (iii) and considering the reasons given by the police officer for the request, direct that a copy of that part of the statement or of such portion thereof as the Magistrate thinks proper, shall be furnished to the accused;
Provided further that if the Magistrate is satisfied that any document referred to in clause (v) is voluminous, he shall, instead of furnishing the accused with a copy thereof, direct that he will only be allowed to inspect it either personally or through pleader in Court.",2025.10
crpc,16,208,Supply of copies of statements and documents to accused in other cases triable by Court of Session,"Where, in a case instituted otherwise than on a police report, it appears to the Magistrate issuing process under section 204 that the offence is triable exclusively by the Court of Session, the Magistrate shall without delay furnish to the accused, free of cost, a copy of each of the following;
	
		the statements recorded under section 200 or section 202, or all persons examined by the Magistrate;
		the statements and confessions, if any, recorded under section 161 or section 164;
		any documents produced before the Magistrate on which the prosecution proposes to rely;
Provided that if the Magistrate is satisfied that any such document is voluminous, he shall, instead of furnishing the accused with a copy thereof, direct that he will only be allowed to inspect it either personally or through pleader in Court.",2025.10
crpc,16,209,Commitment of case to Court of Session when offence is triable exclusively by it,"When in a case instituted on a police report or otherwise, the accused appears or is brought before the Magistrate and it appears to the Magistrate that the offence is triable exclusively by the Court of Session, he shall—
	
		commit, after complying with the provisions of section 207 or section 208, as the case may be, the case to the Court of Session, and subject to the provisions of this Code relating to bail, remand the accused to custody until such commitment has been made;
		subject to the provisions of this Code relating to bail, remand the accused to custody during, and until the conclusion of, the trial;
		send to that Court the record of the case and the documents and articles, if any, which are to be produced in evidence;
		notify the Public Prosecutor of the commitment of the case to the Court of Session.",2025.10
crpc,16,210,Procedure to be followed when there is a complaint case and police investigation in respect of the same offence,"When in a case instituted otherwise than on a police report (hereinafter referred to as a complaint case), it is made to appear to the Magistrate, during the course of the inquiry or trial held by him, that an investigation by the police is in progress in relation to the offence which is the subject-matter of the inquiry or trial held by him, the Magistrate shall stay the proceedings of such inquiry or trial and call for a report on the matter from the police officer conducting the investigation.
		If a report is made by the investigating police officer under section 173 and on such report cognizance of any offence is taken by the Magistrate against any person who is an accused in the complaint case, the Magistrate shall inquire into or try together the complaint case and the case arising out of the police report as if both the cases were instituted on a police report.
		If the police report does not relate to any accused in the complaint case or if the Magistrate does not take cognizance of any offence on the police report, he shall proceed with the inquiry or trial, which was stayed by him, in accordance with the provisions of this Code.",2025.10
crpc,17,211,Contents of charge,"Every charge under this Code shall state the offence with which the accused is charged.
		If the law which creates the offence gives it any specific name, the offence may be described in the charge by that name only.
		If the law which creates the offence does not give it any specific name so much of the definition of the offence must be stated as to give the accused notice of the matter with which he is charged.
		The law and section of the law against which the offence is said to have been committed shall be mentioned in the charge.
		The fact that the charge is made is equivalent to a statement that every legal condition required by law to constitute the offence charged was fulfilled in the particular case.
		The charge shall be written in the language of the Court.
		If the accused, having been previously convicted of any offence, is liable, by reason of such previous conviction, to enhanced punishment, or to punishment of a different kind, for a subsequent offence, and it is intended to prove such previous conviction for the purpose of affecting the punishment which the Court may think fit to award for the subsequent offence, the fact date and place of the previous, conviction shall be stated in the charge; and if such statement has been omitted, the Court may add it at any time before sentence is passed.",2025.10
crpc,17,212,"Particulars as to time, place and person","The charge shall contain such particulars as to the time and place of the alleged offence, and the person (if any) against whom, or the thing (if any) in respect of which, it was committed, as are reasonably sufficient to give the accused notice of the matter with which he is charged.
		When the accused is charged with criminal breach of trust or dishonest misappropriation of money or other moveable property, it shall be sufficient to specify the gross sum or, as the case may be, described the movable property in respect of which the offence is alleged to have been committed, and the dates between which the offence is alleged to have been committed, without specifying particular items or exact dates, and the charge so framed shall be deemed to be a charge of one offence within the meaning of section 219;
Provided that the time included between the first and last of such dates shall not exceed one year.",2025.10
crpc,17,213,When manner of committing offence must be stated,"When the nature of the case is such that the particulars mentioned in sections 211 and 212 do not give the accused sufficient notice of the matter with which he is charged, the charge shall also contain such particulars of the manner is which the alleged offence was committed as will be sufficient for that purpose.",2025.10
crpc,17,214,Words in charge taken in sense of law under which offence is punishable,"In every charge, words used in describing an offence shall be deemed to have been used in the sense attached to them respectively by the law under which such offence is punishable.",2025.10
crpc,17,215,Effect of errors,"No error in stating either the offence or the particulars required to be stated in the charge, and no omission to state the offence or those particulars, shall be regarded at any stage of the case as material, unless the accused was in fact misled by such error or omission, and it has occasioned a failure of justice.",2025.10
crpc,17,216,Court may alter charge,"Any Court may alter or add to any charge at any time before judgment is pronounced.
		Every such alteration or addition shall be read and explained to the accused.
		If the alteration or addition to a charge is such that proceeding immediately with the trial is not likely, in the opinion of the Court to prejudice the accused in his defence or the prosecutor in the conduct of the case the Court may, in its discretion, after such alteration or addition has been made, proceed with the trial as if the altered or added charge had been the original charge.
		If the alteration or addition is such that proceeding immediately with the trial is likely, in the opinion of the Court to prejudice the accused or the prosecutor as aforesaid, the Court may either direct a new trial or adjourn the trial for such period as may be necessary.
		If the offence stated in the altered or added charge is one for the prosecution of which previous sanction is necessary, the case shall not be proceeded with until such sanction is obtained, unless sanction had been already obtained for a prosecution on the same facts as those on which the altered or added charge is founded.",2025.10
crpc,17,217,Recall of witnesses when charge altered,"Whenever a charge is altered or added to by the Court after the commencement of the trial, the prosecutor and the accused shall be allowed—
	
		to recall or re-summon, and examine with reference to such alteration or addition, any witness who may have been examined, unless the Court, for reasons to be recorded in writing, considers that the prosecutor or the accused, as the case may be, desires to recall or re-examine such witness for the purpose of vexation or delay or for defeating the ends of justice;
		also to call any further witness whom the Court may think to be material.",2025.10
crpc,17,218,Separate charges for distinct offences,"For every distinct offence of which any person is accused there shall be a separate charge and every such charge shall be tried separately;
Provided that where the accused person, by an application in writing, so desires and the Magistrate is of opinion that such person is not likely to be prejudiced thereby the Magistrate may try together all or any number of the charges framed against such person.
		Nothing in Sub-section (1) shall affect the operation of the provisions of sections 219, 220, 221 and 223.",2025.10
crpc,17,219,Three offences of same kind within year may be charged together,"When a person is accused of more offences than one of the same kind committed within the space of twelve months from the first to the last of such offences, whether in respect of the same person or not, he may be charged with, and tried at one trial for, any number of them not exceeding three.
		Offences are of the same kind when they are punishable with the same amount of punishment under the same section of the Indian Penal Code (45 of 1860) or of any special or local laws;
Provided that, for the purposes of this section, an offence punishable under section 379 of the Indian Penal Code (45 of 1860) shall be deemed to be an offence of the same kind as an offence punishable under section 380 of the said Code, and that an offence punishable under any section of the said Code, or of any special or local law, shall be deemed to be an offence of the same kind as an attempt to commit such offence, when such an attempt is an offence.",2025.10
crpc,17,220,Trial for more than one offence,"If, in one series of acts so connected together as to form the same transaction, more offences than one are committed by the same person, he may be charged with, and tried at one trial for, every such offence.
		When a person charged with one or more offences of criminal breach of trust or dishonest misappropriation of property as provided in Sub-section (2) of section 212 or in Sub-section (1) of section 219, is accused of committing, for the purpose of facilitating or concealing the commission of that offence or those offences, one or more offences of falsification of accounts, he may be charged with, and tried at one trial for, every such offence.
		If the acts alleged constitute an offence falling within two or more separate definitions of any law in force for the time being by which offences are defined or punished, the person accused of them may be charged with, and tried at one trial for, each of such offences.
		If several acts, of which one or more than one would by itself or themselves constitute an offence, constitute when combined a different offence, the person accused of them may be charged with, and tried at one trial for the offence constituted by such acts when combined, and for any offence constituted by any one, or more, or such acts.
		Nothing contained in this section shall affect section 71 of the Indian Penal Code (45 of 1860).",2025.10
crpc,17,221,Where it is doubtful what offence has been committed,"If a single act or series of acts is of such a nature that it is doubtful which of several offences the facts which can be proved will constitute, the accused may be charged with having committed all or any of such offences, and any number of such charges may be tried at once; or he may be charged in the alternative with having committed some one of the said offences.
		If in such a case the accused is charged with one offence, and it appears in evidence that he committed a different offence for which he might have been charged under the provisions of Sub-section (1), he may be convicted of the offence which he is shown to have committed, although he was not charged with it.",2025.10
crpc,17,222,When offence proved included in offence charged,"When a person is charged with an offence consisting of several particulars, a combination of some only of which constitutes a complete minor offence, and such combination is proved, but the remaining particulars are not proved, he may be convicted of the minor offence, though he was not charged with it.
		When a person is charged with an offence and facts are proved which reduce it to a minor offence, he may he convicted of the minor offence, although he is not charged with it.
		When a person is charged with an offence, he may be convicted of an attempt to commit such offence although the attempt is not separately charged.
		Nothing in this section shall be deemed to authorise a conviction of any minor offence where the conditions requisite for the initiation of proceedings in respect of that minor offence have not been satisfied.",2025.10
crpc,17,223,What persons may be charged jointly,"The following persons may be charged and tried together, namely;
	
		persons accused of the same offence committed in the course of the same transaction;
		persons accused of an offence and persons accused of abetment of, or attempt to commit, such offence;
		persons accused of more than one offence of the same kind, within the meaning of section 219 committed by them jointly within the period of twelve months;
		persons accused of different offences committed in the course of the same transaction;
		persons accused of an offence which includes theft, extortion, cheating, or criminal misappropriation, and persons accused of receiving or retaining, or assisting in the disposal or concealment of, property possession of which is alleged to have been transferred by any such offence committed by the first-named persons, or of abetment of or attempting to commit any such last-named offence;
		persons accused of offences under sections 411 and 414 of the Indian Penal Code (45 of 1860) or either of those sections in respect of stolen property the possession of which has been transferred by one offence;
		persons accused of any offence under Chapter XII of the Indian Penal Code (45 of 1860) relating to counterfeit coin and persons accused of any other offence under the said Chapter relating to the same coin, or of abetment of or attempting to commit any such offence; and the provisions contained in the former part of this Chapter shall, so far as may be, apply to all such charges;
Provided that where a number of persons are charged with separate offences and such persons do not fall within any of the categories specified in this section, the Magistrate or Court of Sessions may, if such persons by an application in writing, so desire, and if he is satisfied that such persons would not be prejudicially affected thereby, and it is expedient so to do, try all such persons together.",2025.10
crpc,17,224,Withdrawal of remaining charges on conviction on one of several charges,"When a charge containing more heads than one is framed against the same person, and when a conviction has been had on one or more of them, the complainant, or the officer conducting the prosecution, may, with the consent, of the Court, withdraw the remaining charge or charges, or the Court of its own accord may stay the inquiry into, or trial of, such charge or charges and such withdrawal shall have the effect of an acquittal on such charge or charges, unless the conviction be set aside, in which case the said Court (subject to the order of the Court setting aside the conviction) may proceed with the inquiry into, or trial of, the charge or charges so withdrawn.",2025.10
crpc,18,225,Trial to be conducted by Public Prosecutor,"In every trial before a Court of Session, the prosecution shall be conducted by a Public Prosecutor.",2025.10
crpc,18,226,Opening case for prosecution,"When the Accused appears or is brought before the Court in pursuance of a commitment of the case under section 209, the prosecutor shall open his case by describing the charge brought against the accused and stating by what evidence he proposes to prove the guilt of the accused.",2025.10
crpc,18,227,Discharge,"If, upon consideration of the record of the case and the documents submitted therewith, and after hearing the submissions of the accused and the prosecution in this behalf, the Judge considers that there is not sufficient ground for proceeding against the accused, he shall discharge the accused and record his reasons for so doing.",2025.10
crpc,18,228,Framing of charge,"If, after such consideration and hearing as aforesaid, the Judge is of opinion that there is ground for presuming that the accused has committed an offence which—
		
			is not exclusively triable by the Court of Session, he may, frame a charge against the accused and, by order, transfer the case for trial to the Chief Judicial Magistrate or any other Judicial Magistrate of the first class and direct the accused to appear before the Chief Judicial Magistrate, or, as the case may be, the Judicial Magistrate of the first class, on such date as he deems fit, and thereupon such Magistrate shall try the offence in accordance with the procedure for the trial of warrant-cases instituted on a police report;
			is exclusively triable by the Court, he shall frame in writing a charge against the accused.
		
		Where the Judge frames any charge under clause (b) of Sub-section (1), the charge shall be read and explained to the accused and the accused shall be asked whether he pleads guilty of the offence charged or claims to be tried.",2025.10
crpc,18,229,Conviction on plea of guilty,"If the accused pleads guilty, the Judge shall record the plea and may, in his discretion, convict him thereon.",2025.10
crpc,18,230,Date for prosecution evidence,"If the accused refuses to plead, or does not plead, or claims to be tried or is not convicted under section 229, the Judge shall fix a date for the examination of witnesses, and may, on the application of the prosecution, issue any process for compelling the attendance of any witness or the production of any document or other thing.",2025.10
crpc,18,231,Evidence for prosecution,"On the date so fixed, the Judge shall proceed to take all such evidence as may be produced in support of the prosecution.
		The Judge may, in his discretion, permit the cross-examination of any witness to be deferred until any other witness or witnesses have been examined or recall any witness for further cross-examination.",2025.10
crpc,18,232,Acquittal,"If after taking the evidence for the prosecution, examining the accused and hearing the prosecution and the defence on the point, the Judge considers that there is no evidence that the accused committed the offence, the judge shall record an order of acquittal.",2025.10
crpc,18,233,Entering upon defence,"Where the accused is not acquitted under section 232 he shall be called upon to enter on his defence and adduce any evidence he may have in support thereof.
		If the accused puts in any written statement, the Judge shall file it with the record.
		If the accused applies for the issue of any process for compelling the attendance of any witness or the production of any document or thing, the Judge shall issue such process unless he considers, for reasons to be recorded, that such application should be refused on the ground that it is made for the purpose of vexation or delay or for defeating the ends of justice.",2025.10
crpc,18,234,Arguments,"When the examination of the witnesses (if any) for the defence is complete, the prosecutor shall sum up his case and the accused or his pleader shall be entitled to reply;
Provided that where any point of law is raised by the accused or his pleader, the prosecution may, with the permission of the Judge, make his submissions with regard to such point of law.",2025.10
crpc,18,235,Judgment of acquittal or conviction,"After hearing arguments and points of law (if any), the Judge shall give a judgment in the case.
		If the accused is convicted, the Judge shall, unless he proceeds in accordance with the provisions of section 360 hear the accused on the question of sentence, and then pass sentence on him according to law.",2025.10
